contact_id,contact_type,name,website,owner,county,city,state,zip,address,phone,circulation,publication_days
86,1,El Dorado Springs Sun,http://www.ElDoradoSpringsMo.com,Independently Owned Newspaper,Cedar County,El Dorado Springs,MO,64744,"125 North Main Street, P.O. Box 71",417-876-3841,2000,Thursday
87,1,Eldon Advertiser,http://www.EldonAdvertiser.com,"Vernon Publishing, Inc.",Miller County,Eldon,MO,65026,"415 South Maple Street, P.O. Box 315",573-392-5658,3400,Thursday
89,1,Elsberry Democrat,http://www.ElsberryDemocrat.com,CherryRoad Media,Lincoln County,Troy,MO,63379,280 Magee St. ,(636) 528-9550,172,Wednesday
90,1,Eminence Shannon County Current Wave,http://www.CurrentWave.news,Independently Owned Newspaper,Shannon County,Eminence,MO,65466,"102 Plum Street, P.O. Box 728",573-226-5229,860,Wednesday
95,1,Eureka Leader,http://www.myleaderpaper.com,Leader Publications,Jefferson County,Festus,MO,63028,"503 North 2nd Street, P.O. Box 159",636-937-7501,11591,Thursday
427,5,Excelsior Springs Citizen,https://excelsiorcitizen.com,Ownership information not listed,,Excelsior Springs,MO,64024,518 Elms Blvd.,(816) 808-7132,3471,Daily
92,1,Fayette Advertiser,http://www.FayetteNewspapers.com,Independently Owned Newspaper,Howard County,Fayette,MO,65248,P.O. Box 32,660-248-2235,1200,Wednesday
165,1,Focus on Oak Grove,http://www.TheOdessan.net,Independently Owned Newspaper,Jackson County,Oak Grove,MO,64075,103 Southeast 12th Street,816-690-7218,1000,Thursday
98,1,Fredericktown Democrat-News,http://www.DailyJournalOnline.com/democrat-news,Paxton Media Group,Madison County,Park Hills,MO,63601,P.O. Box 9,573-783-3366,1000,Wednesday
99,1,Fulton Sun,http://www.FultonSun.com,Independently Owned Newspaper,Callaway County,Fulton,MO,65251,115 East 5th Street,(573) 826-2419,1200,Saturday
100,1,Gainesville Ozark County Times,http://www.OzarkCountyTimes.com,Independently Owned Newspaper,Ozark County,Gainesville,MO,65655,"504 Third Street, P.O. Box 188",417-679-4641,2800,Wednesday
101,1,Glasgow Missourian,http://www.MainStreetMedia.us,Independently Owned Newspaper,Howard County,Glasgow,MO,65254,109 Market Street,660-338-2195,793,Friday
160,1,Greene County Commonwealth,http://www.GreenCountyCommonWealth.com,Independently Owned Newspaper,Greene County,Mt. Vernon,MO,65738,"312 South Hickory Street, P.O. Box 348",417-466-2185,1900,Wednesday
103,1,Greenfield Vedette,http://www.GreenfieldVedette.com,Independently Owned Newspaper,Dade County,Greenfield,MO,65661,"7 North Main, P.O. Box 216",(417) 637-2712,1145,Thursday
104,1,Hale Horizions,,Independently Owned Newspaper,Carroll County,Hale,MO,64643,"29236 Highway J, P.O.Box 36",660-565-2555,692,Wednesday
188,1,Hannibal Courier-Post,http://www.Hannibal.net,Carpenter Media Group,Marion County,Quincy,IL,62301,"130 St. 5th St., P.O. Box A",573-221-2800,5383,Tue-Sat am
422,2,Heather Herman,,Ownership information not listed,,,,,,,,
107,1,Hermann Advertiser-Courier,http://www.HermannAdvertiserCourier.com,CherryRoad Media,Gasconade County,Hermann,MO,65041,"136 East 4th Street, P.O. Box 350",573-486-5418,2100,Wednesday
108,1,Hermitage Index,http://www.HermitageIndex.com,"Vernon Publishing, Inc.",Hickory County,Hermitage,MO,65668,"109 W. Polk Street, P.O. Box 127",417-745-6404,2200,Wednesday
109,1,Higginsville Advance,,Cooperative or Chamber Operated,Lafayette County,Higginsville,MO,64037,"1002 Highway 13, P.O. Box 422",660-584-3611,1315,Wednesday
110,1,Hillsboro Jefferson County Countian,http://www.MLMcounnties.com,BridgeTower Media,Jefferson County,Hillsboro,MO,63050,638 1st Street,636-789-5853,155,Friday
112,1,Holden Image,http://www.HIPaperclips.com,Independently Owned Newspaper,Johnson County,Holden,MO,64040,117 East Second Street,816-732-5552,1150,Thursday
114,1,Houston Herald,http://www.HoustonHerald.com,Independently Owned Newspaper,Texas County,Houston,MO,65483,"113 North Grand Avenue, P.O. Box 170",417-967-2000,4000,Thursday
116,1,Independence Examiner,http://www.Examiner.net,CherryRoad Media,Jackson County,Independence,MO,64055,12012 E. 40 Hwy,(816) 648-1611,6750,Tue-Sat am
446,1,Independent Courier | Clarence,https://www.theindependentcourier.com/,Independently Owned Newspaper,Shelby County,,,,,,200,Thursday
117,1,Ironton Mountain Echo,http://www.myironcountynews.com,Paxton Media Group,Iron County,Park Hills,MO,63601,P.O. Box 9,573-546-3917,1070,Wednesday
20,2,Isabelle Bryson,,Ownership information not listed,,Jefferson City,MO,65102,P.O. Box 899,573-751-3321,,
118,1,Jackson Cash-Book Journal,http://www.thecash-book.com,Independently Owned Newspaper,Cape Girardeau County,Jackson,MO,63755,"210 West Main, P.O. Box 369",583-243-3515,6500,Wednesday
119,1,Jamesport Tri-County Weekly,http://www.JamesportTriCountyWeekly.com,Independently Owned Newspaper,Daviess County,Jamesport,MO,64648,"103 South Broadway, P.O. Box 137",660-684-6515,1450,Thursday
194,1,Jasper County Citizen and Carthage Chronicle,,Independently Owned Newspaper,Jasper County,Sarcoxie,MO,64862,"101 North 6th Street, P.O. Box 400",417-548-3311,1400,Wednesday
120,1,Jefferson City News Tribune,http://www.NewsTribune.com,Independently Owned Newspaper,Cole County,Jefferson City,MO,65101,"326 E. Capitol Ave., P.O. Box 420",573-636-3131,"Daily: 8,920 Sunday: 10,497",Daily am
96,1,Jefferson County Leader (Leader Publications),http://www.myleaderpaper.com,Leader Publications,"Jefferson County, St Louis County",Festus,MO,63028,"503 North 2nd Street, P.0. Box 159",636-937-7501,17846,Thursday
111,1,Jefferson County Reporter,,"Pulse Newspaper Publishing, Inc.",Jefferson County,Hillsboro,MO,63050,"473 Maple Street, P. O. Box 564",816-221-2552,236,Friday
5,2,Jim McCarty,,Ownership information not listed,,Jefferson City,MO,65102,"P.O. Box 1645, 2722 East McCarty Street",573-635-6857,,
36,2,Joel Rhodes,,Ownership information not listed,,Columbia,MO,65201,605 Elm St.,573-882-7083,,
122,1,Joplin Globe,http://www.JoplinGlobe.com,CNHI,Jasper County,Joplin,MO,64804,"2613 S Main St., Ste. D",417-623-3480,"Daily: 8,500 Sunday: 10,000",Daily am
123,1,Kahoka Hometown Journal,http://www.HTJournal.net,Independently Owned Newspaper,Clark County,Kahoka,MO,63445,258 West Main Street,660-727-3383,1400,Tuesday
124,1,Kahoka Media,http://www.KahokaMedia.com,"NEMO News Media Group, LLC",Clark County,Kahoka,MO,63445,"178 West Main Street, P.O. Box 230",660-727-3395,1400,Wednesday
244,5,Kansas City Beacon (Online Member),http://www.thebeaconnews.org,Ownership information not listed,Jackson County,Kansas City,MO,64111,300 East 39th Street,(816) 514-6071,,Daily
126,1,Kansas City Daily Record,http://www.MLMcounnties.com,BridgeTower Media,Jackson County,Kansas City,MO,64108,2300 Main St #900,816-931-2002,100,Daily
127,1,Kansas City Globe,http://www.TheKansasCityGlobe.com,Independently Owned Newspaper,Jackson County,Kansas City,MO,64109,615 E 29th,816-531-5253,10000,Thursday
128,1,Kansas City Northeast News,http://www.NortheastNews.net,Cooperative or Chamber Operated,Jackson County,Kansas City,MO,64124,2659 Independence Blvd.,816-241-0765,5000,Wednesday
130,1,Kansas City Pulse Legal Publication,http://www.PulseLegal.com,"Pulse Newspaper Publishing, Inc.",Jackson County,Kansas City,MO,64109,501 East Armour Boulevard,816-221-2552,390,Daily
129,1,Kansas City Star,http://www.KansasCity.com,McClatchy Publishing Company,Jackson County,Kansas City,MO,64108,"2405 Grand, Suite 410",816-234-4636,"13,000",Daily am
32,2,Kevin Sees,,Ownership information not listed,,Willow Springs,MO,63793,1396 S. Highway 137,(573) 880-7021,,
132,1,King City | Tri-County Ledger,https://www.facebook.com,Independently Owned Newspaper,"Andrew County, DeKalb County, Gentry County",King City,MO,64463,"110 East Vermont Street, P.O. Box 498",660-535-4313,1260,Friday
133,1,Kirksville Daily Express,http://www.KirksvilleDailyExpress.com,Carpenter Media Group,Adair County,Kirksville,MO,63501,"705 E. LaHarpe Street, Ste. F, P.O Box 809",660-665-2808,750,Wednesday
30,2,Kyle Carter,,Ownership information not listed,,Poplar Bluff,MO,63901,419 Proctor Dr.,(573) 931-3369,,
137,1,Laclede County Record,http://www.LacledeRecord.com,Independently Owned Newspaper,Laclede County,Lebanon,MO,65536,"100 East Commercial, P.O. Box 192",417-532-9131,3858,Wednesday & Saturday
59,1,"Lake Sun | Osage Beach, Lake Ozark, Camdenton",http://www.LakeNewsOnline.com,"Vernon Publishing, Inc.",Camden County,Osage Beach,MO,65065,"4075 Osage Beach Parkway, Suite 100",573-346-2132,3000,Wednesday & Friday
169,5,LakeExpo.com (Online Member),http://www.LakeExpo.com,Ownership information not listed,Camden County,Osage Beach,MO,65049,"2820 Bagnell Dm Blvd. Suite B5, P.O. Box 1805",573-693-1990,,Daily
134,1,Lamar Democrat,http://www.LamarDemocrat.com,Reaves & Williams Publishing Group,Barton County,Lamar,MO,64759,"100 East 11th St., P.O. Box 12",417-417-6397,880,Wednesday
136,1,Lawson Review,http://www.Facebook.com/LawsonReview1979,Independently Owned Newspaper,"Clay County, Ray County",Lawson,MO,64062,"405 N. Pennsylvania Ave., P.O. Box 125",(816) 296-3412,2100,Wednesday
139,1,Lexington News,http://www.MainStreetMedia.us,Cooperative or Chamber Operated,Lafayette County,Lexington,MO,64067,"1009 Franklin Avenue, P.O. Box 279",660-259-2266,987,Wednesday
142,1,Licking News,http://www.TheLickingNews.com,Carpenter Media Group,"Dent County, Phelps County, Texas County",Licking,MO,65542,"115 South Main Street, P.O. Box 297",573-674-2412,805,Thursday
143,1,Linn | Unterrified Democrat,http://www.UnterrifiedDemocrat.com,"Warden Publishing Co., Inc.",Osage County,Linn,MO,65051,"300 East Main Street, P.O. Box 109",573-897-3150,2841,Wednesday
71,1,Linn County Leader | Brookfield,http://www.LinnCountyLeader.com,CherryRoad Media,Linn County,Chillicothe,MO,64501,"430 Washington St., P.O. Box 707",660-241-4140,1625,"Tue, Thu, Sat."
24,3,Liz Fleenor,,Ownership information not listed,,MO 65101,MO,65101,"113 Madison St. , Jefferson City",,,
246,2,Lt. Eric Brown,,Ownership information not listed,,Jefferson City,MO,65102,P.O. Box 568,(573) 526-6115,,
144,1,Macon County Home Press,http://www.MaconHomePress.com,Independently Owned Newspaper,Macon County,Macon,MO,63552,P.O. Box 303,660-346-7046,1200,Wednesday
64,1,Marble Hill Banner Press,http://www.TheBannerPress.com,Rust Communications,Bollinger County,Cape Girardeau,MO,63702,", P.O. Box 699",800-879-1210,1200,Wednesday
2,1,Maries County Advocate,http://www.MariesCountyAdvocate.com,"Warden Publishing Co., Inc.",Maries County,Owensville,MO,65066,P.O. Box 540,(573) 437-2323,1615,Wednesday
145,1,Marshall Democrat-News,http://www.MarshallNews.com,CherryRoad Media,Saline County,Marshall,MO,65340,28 N. Jefferson Ave.,660-886-2233,1100,Wed & Fri
146,1,Marshfield Mail,http://www.MarshfieldMail.com,Carpenter Media Group,Webster County,Marshfield,MO,65706,"225 North Clay, P.O. Box A",417-468-2013,3444,Wednesday
443,6,Martin City Telegraph,https://martincitytelegraph.com,Ownership information not listed,Jackson County,Kansas City,MO,64145,13610 Washington Ave.,(816) 492-7229,"15,000",Bi-Weekly
147,1,Maryville Forum,http://www.MaryvilleForum.com,Independently Owned Newspaper,"Holt County, Nodaway County, Worth County",Maryville,MO,64468,"111 East Jenkins, P.O. Box 188",660-562-2424,1673,Thursday
149,1,Maysville | DeKalb Co. Record-Herald,,Independently Owned Newspaper,DeKalb County,Maysville,MO,64469,"508 South Polk Street, P.O. Box 98",816-449-2121,1300,Thursday
150,1,Memphis Democrat,http://www.MemphisDemocrat.com,"NEMO News Media Group, LLC",Scotland County,Kahoka,MO,63445,PO Box 230,660-465-7016,1200,Thursday
151,1,Mexico Ledger,http://www.MexicoLedger.com,Westplex Media Group,"Audrain County, Callaway County",Mexico,MO,65265,P.O. Box 8,573-581-1111,1900,Wednesday
152,1,Milan Standard,http://www.TheMilanStandard.com,"NEMO News Media Group, LLC",Sullivan County,Milan,MO,63556,"105 South Market Street, P.O. Box 276",660-265-4244,1500,Thursday
256,3,Missouri Bar,,Ownership information not listed,Cole County,Jefferson City,MO,65102,P.O. Box 119,573-668-2251,,
252,3,Missouri Hospital Association,https://www.mohospitals.org,Ownership information not listed,Cole County,Jefferson City,MO,65109-4541,4712 Country Club Dr.,573-893-3700,,
121,5,Missouri Independent (Online Member),http://www.MissouriIndependent.com,Ownership information not listed,Cole County,Jefferson City,MO,65101,", P.O. Box 2255",573-340-5153,,Daily
444,6,Missouri Life,https://missourilife.com/,Ownership information not listed,Boone County,Rocheport,MO,65279,208 Columbia Street,(573) 514-5453,"24,000",9 Times a Year
253,3,MO Chamber of Commerce,,Ownership information not listed,,Jefferson City,MO,65101,428 Capitol Ave.,573-634-3511,,
154,1,Moberly Monitor-Index,http://www.MoberlyMonitor.com,CherryRoad Media,Randolph County,,,,,660-263-4123,1200,Wed & Sat
176,1,Monroe | Ralls,http://www.MonroeCountyAppeal.com,Reaves & Williams Publishing Group,Ralls County,Paris,MO,65275,"221 North Main Street, P.O. Box 207",660-327-4192,1200,Thursday
155,1,Monroe City Lake Gazette,http://www.LakeGazette.net,CherryRoad Media,Monroe County,Monroe City,MO,63456,P.O. Box 187,573-735-3300,1300,Wednesday
156,1,Montgomery Standard,http://www.MyStandardNews.com,Westplex Media Group,Montgomery County,Montgomery City,MO,63361,P.O. Box 190,573-564-2339,2200,Wednesday
235,1,Morgan County Statesman,http://www.morgancountystatesman.com,Independently Owned Newspaper,Morgan County,Versailles,MO,65084,615 W. Newton,573-378-5441,2850,Thursday
157,1,Mound City News,http://www.MoundCityNews.com,Independently Owned Newspaper,Holt County,Mound City,MO,64470-0175,"18121 Hwy. 59, P.O. Box 175",660-442-5423,2200,Thursday
158,1,Mt. Vernon Lawrence Co. Record,http://www.LawrenceCountyRecord.com,Independently Owned Newspaper,Lawrence County,Mount Vernon,MO,65712,"312 South Hickory Street, P.O. Box 348",417-466-2185,3400,Wednesday
162,1,Neosho Daily News,http://www.NeoshoDailyNews.com,Independently Owned Newspaper,Newton County,Neosho,MO,64850,212 E. Main St.,417-451-1520,1800,"Tues, Fri"
164,1,Nevada Daily Mail,http://www.NevadaDailyMail.com,Rust Communications,Vernon County,Nevada,MO,64772,"131 South Cedar Street, P.O. Box 247",417-667-3344,2100,Tue-Wed-Fri-Sat
201,7,New Madrid Weekly Record,http://www.Standard-Democrat.com,Ownership information not listed,New Madrid County,Sikeston,MO,63801,205 South New Madrid,573-471-1137,,
166,1,Odessa Odessan,http://www.TheOdessan.net,Independently Owned Newspaper,Lafayette County,Odessa,MO,64076,212 Mason Street,816-230-5311,2200,Thursday
171,1,Osceola | St. Clair County Courier & Appleton City Journal,https://www.vernonpublishing.com/,"Vernon Publishing, Inc.",St Clair County,Osceola,MO,64776,"285 Pine Street, P.O. Box 580",417-646-2211,882,Wednesday
245,1,Owensville Gasconade Co. Republican,http://www.GasconadeCountyRepublican.com,"Warden Publishing Co., Inc.",Gasconade County,Owensville,MO,65066,"106 East Washington Ave, P.O. Box 540",(573) 437-2323,2762,Wednesday
173,1,Ozark Christian County Headliner-News,http://www.CCHeadliner.com,Carpenter Media Group,Christian County,Ozark,MO,65721,P.O. Box 490,417-581-3541,2442,Wednesday
174,1,Palmyra Spectator,http://www.Palmyra-Spectator.com,"NEMO News Media Group, LLC",Marion County,Kahoka,MO,63445-0230,P.O. Box 230,573-769-3111,1500,Wednesday
177,1,Park Hills Daily Journal,http://www.DailyJournalOnline.com,Paxton Media Group,St Francois County,Park Hills,MO,63601,P.O. Box 9,573-431-2010,1500,Tuesday - Saturday
66,1,Pemiscot Press,http://www.PemiscotPress.com,Rust Communications,Pemiscot County,Blytheville,AR,72316,P.O. Box 1108,573-333-4336,682,Wednesday
178,1,Perryville | MidAmerica Farmer Grower,http://www.MAFG.net,NWA Media,Perry County,Perryville,MO,63775,"19 North Main Street, P.O. Box 323",573-547-2244,8322,Friday
179,1,Perryville Republic-Monitor,http://www.RepublicMonitor.com,Independently Owned Newspaper,Perry County,Perryville,MO,63775,11 W St. Joseph St.,573-547-4567,3500,Thursday
191,1,Phelps County Focus,http://www.PhelpsCountyFocus.com,Carpenter Media Group,Phelps County,Rolla,MO,65401,"101 West 7th Street, P.O. Box 1128",573-426-3700,4000,Thursday
180,1,Piedmont Wayne Co. Journal-Banner,http://www.waynecojournalbanner.com,Ownership information not listed,Wayne County,Piedmont,MO,63957,"121 North Main, P.O. Box 97",573-223-7122,2600,Wednesday
54,1,Pike County News | Bowling Green & Louisiana,http://www.pikecountynews.com,CherryRoad Media,Pike County,,,,,573-324-2222,1020,Wednesday
181,1,Pineville | McDonald County Press,http://www.mdcp.nwaonline.com,NWA Media,McDonald County,Pineville,MO,64856,"212 Northeast Avenue, P.O. Box 266",(479) 855-3724,3300,Thursday
182,1,Platte City Platte County Citizen,http://www.PlatteCountyCitizen.com,Independently Owned Newspaper,Platte County,Platte City,MO,64079,"303 Marshall Road Ste. 1A, P.O. Box 888",816-858-5154,2950,Wednesday
183,1,Platte County Landmark,http://www.PlatteCountyLandmark.com,Independently Owned Newspaper,Platte County,Platte City,MO,64079,"212 Marshall Road, Suite C, P.O. Box 410",816-858-0363,3300,Wednesday
184,1,Plattsburg Clinton County Leader,http://www.ClintonCountyLeader.com,Independently Owned Newspaper,Clinton County,Plattsburg,MO,64477,102 East Maple Street,816-539-2111,2000,Tuesday
185,1,Poplar Bluff Daily American Republic,http://www.DARNews.com,Rust Communications,Butler County,Poplar Bluff,MO,63902,"208 Poplar Street, P.O. Box 7",573-785-1414,6900,Tues. – Saturday
186,1,Potosi Independent Journal,http://www.TheIJNews.com,Independently Owned Newspaper,Washington County,Potosi,MO,63664,119 East High Street,573-438-5141,4376,Thursday
62,1,Press-News Journal | Canton & LaGrange,http://www.LewisPNJ.com,Reaves & Williams Publishing Group,Lewis County,LaGrange,MO,63448,109 North Fourth Street,573-288-5668,1083,Thursday
187,1,Princeton Post-Telegraph,https://northmissouriannews.com/,Independently Owned Newspaper,Mercer County,Princeton,MO,64673,"704 Main Street, P.O. Box 286",660-748-3266,1000,Thursday
255,3,"Really Big Coloring Books, Inc.",,Ownership information not listed,,St. Louis,MO,63132,,(314) 695-5757,,
88,1,Reynolds County Courier | Ellington,http://www.ReynoldsCountyCourier.com,Paxton Media Group,Reynolds County,Park Hills,MO,63601,P.O. Box 9,573-223-7122,1070,Wednesday
172,1,Rich Hill Mining Review,https://www.vernonpublishing.com/,Independently Owned Newspaper,Bates County,Osceola,MO,64779,P.O. Box 580,417-646-2211,349,Friday
189,1,Richmond News,http://www.Richmond-DailyNews.com,Independently Owned Newspaper,Ray County,Richmond,MO,64085,"204 West North Main, P.O. Box 128",816-776-5454,1000,Friday
208,1,Saint James Press,http://www.ThreeRiversPublishing.com,Ownership information not listed,Phelps County,Belle,MO,65013,"1110 Hwy. 28 , Unit B",(573) 859-3323,1391,Thursday
192,1,Salem News,http://www.TheSalemNewsOnline.com,Carpenter Media Group,Dent County,Salem,MO,65560,"500 North Washington, P.O. Box 1128",573-729-4126,2500,Tuesday
438,4,Sandy Nelson,,Ownership information not listed,,,,,,(816) 616-4301,,
428,2,Sara Schafer,https://www.facebook.com/RuralMissouri/,Ownership information not listed,,Jefferson City,MO,65101,"Rural Missouri Magazine , 2722 E. McCarty St.",(660) 537-0587,,
195,1,Sarcoxie Record,,Independently Owned Newspaper,Jasper County,Sarcoxie,MO,64862,"101 North 6th Street, P.O. Box 400",417-548-3311,875,Wednesday
196,1,Savannah Reporter,http://www.savrep.com,CherryRoad Media,Andrew County,Savannah,MO,64485,"427 West Main Street, P.O. Box 299",816-324-3149,3500,Thursday
135,1,Schuyler County Times,http://www.SchuylerCountyTimes.com,"NEMO News Media Group, LLC",Schuyler County,Kahoka,MO,63445,PO Box 230,660-457-8555,600,Thursday
10,2,Scott Charton,,Ownership information not listed,,Columbia,MO,65203,5808 South Bethel Church Road,573-864-9672,,
197,1,Sedalia Democrat,http://www.SedaliaDemocrat.com,Carpenter Media Group,Pettis County,Sedalia,MO,65301,111 W. Fourth Street,660-826-1000,3000,Tues-Sat
198,1,Seymour Webster County Citizen,http://www.WebsterCountyCitizen.com,Independently Owned Newspaper,Webster County,Seymour,MO,65746,"221 South Commercial St., P.O. Box 190",417-935-2257,1179,Wednesday
199,1,Shelbyville | Shelby County Herald,http://www.NEMoNews.net,"NEMO News Media Group, LLC",Shelby County,Shelbyville,MO,63469,"109 East Main Street, P.O. Box 225",573-633-2261,1200,Wednesday
200,1,Sheridan Express,http://SheridanExpress.Blogspot.com,Independently Owned Newspaper,Worth County,Sheridan,MO,64486,205 North 4th #8,660-254-2161,461,Wednesday
